model,accuracy_round1,accuracy_final,delta_final_minus_round1,n
llama3b,0.856,0.7946666666666666,-0.06133333333333335,750
llama8b,0.7146666666666667,0.7386666666666667,0.02400000000000002,750
majority,0.9106666666666666,0.8626666666666667,-0.04799999999999993,750
qwen14b,0.86,0.8866666666666667,0.026666666666666727,750
qwen32b,0.8426666666666667,0.9133333333333333,0.07066666666666666,750
qwen3b,0.8893333333333333,0.8813333333333333,-0.008000000000000007,750
qwen7b,0.832,0.8026666666666666,-0.029333333333333322,750
