model,sycophant_with_knowledge,agreement_rate,confident_sycophancy
Qwen2.5-14B,0.09111111111111111,0.12631578947368421,0.08020705327663802
Qwen2.5-3B,0.02406417112299465,0.04736842105263158,0.03731162826425271
Qwen2.5-7B,0.054373522458628844,0.09473684210526316,0.07676656215468472
Llama-3.1-8B,0.057291666666666664,0.06666666666666667,0.14260775304771864
Llama-3.2-1B,0.015873015873015872,0.008771929824561403,0.2588807164348368
Llama-3.2-3B,0.027888446215139442,0.02456140350877193,0.12639670487610233
