experiment,score_mode,acc_llama3b,acc_llama8b,acc_majority,acc_qwen14b,acc_qwen32b,acc_qwen3b,acc_qwen7b,null_llama3b
accuracy_bss,bss,0.9527,0.9573,0.96,0.9427,0.9693,0.9627,0.9093,0.1267
baseline,none,0.8674,0.9,0.92,0.9213,0.924,0.8987,0.9133,0.0347
binary_bss,binary,0.8858,0.944,0.948,0.9373,0.9627,0.9467,0.912,0.1827
bss,bss,0.9414,0.9453,0.9547,0.928,0.9533,0.9613,0.8867,0.136
dss,dss,0.9398,0.9453,0.9507,0.9267,0.956,0.9627,0.884,0.136
random_bss,bss,0.9354,0.952,0.952,0.9213,0.9507,0.9653,0.892,0.1533
